               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10614,            0.033305,                   0,             0.44996,             0.30954,             0.29472,            0.093208,            0.064514,            0.032569,                   0,            0.070061,           0.0033266,           0.0033266
                   1,            0.073878,            0.034455,                   0,             0.54178,             0.42732,             0.43138,              0.1389,            0.056878,            0.031309,                   0,            0.039995,            0.006594,            0.006594
                   2,            0.065171,             0.03159,                   0,             0.48414,             0.36031,             0.35462,              0.1003,            0.060189,            0.034104,                   0,           0.0098631,           0.0097954,           0.0097954
                   3,            0.063788,            0.030626,                   0,             0.47938,             0.32156,              0.3199,            0.087953,            0.063307,            0.030319,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.058454,            0.029339,                   0,             0.68004,             0.49381,             0.54212,             0.19909,            0.053977,            0.028809,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.05572,            0.028382,                   0,              0.6809,             0.47036,             0.52918,             0.17663,            0.054176,            0.029359,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.053214,            0.027466,                   0,             0.74788,             0.55271,             0.63797,             0.27776,            0.047181,            0.030328,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.052511,             0.02725,                   0,             0.83595,             0.63454,             0.74771,             0.38648,             0.04293,             0.02667,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.051677,            0.027051,                   0,             0.83445,             0.61302,             0.70539,             0.31784,             0.04811,            0.027994,                   0,            0.009307,            0.009307,            0.009307
                   9,             0.05116,            0.026738,                   0,             0.83778,             0.61628,             0.74124,             0.36916,            0.042732,             0.02664,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.049704,             0.02557,                   0,             0.83459,             0.62655,             0.74848,             0.38175,            0.041413,            0.027206,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.048781,            0.025569,                   0,             0.78116,             0.60593,              0.6894,             0.27888,            0.046312,            0.027498,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.048725,            0.025229,                   0,             0.83358,             0.61512,             0.72548,             0.28503,             0.04659,            0.026704,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.047141,            0.025095,                   0,             0.84613,             0.63093,             0.74711,             0.38415,            0.041114,             0.02661,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.046881,            0.025155,                   0,              0.7447,             0.53209,             0.61318,             0.21467,            0.050546,            0.028654,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.047632,            0.025006,                   0,             0.84585,             0.65902,             0.76915,             0.36212,            0.040865,            0.026722,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.045583,            0.024089,                   0,             0.84423,             0.65219,              0.7691,             0.35096,            0.042267,            0.026044,                   0,            0.008515,            0.008515,            0.008515
                  17,            0.045696,            0.024428,                   0,             0.83612,             0.63578,             0.74374,             0.30563,            0.044897,            0.026477,                   0,            0.008416,            0.008416,            0.008416
                  18,            0.045682,             0.02412,                   0,             0.73914,             0.54085,             0.59649,             0.19576,            0.050302,            0.027961,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.046202,            0.024352,                   0,             0.80465,             0.61732,             0.71704,             0.27524,            0.045926,            0.026318,                   0,            0.008218,            0.008218,            0.008218
                  20,            0.044673,            0.024208,                   0,             0.84964,             0.66117,             0.78434,             0.37894,            0.040599,            0.025178,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.045233,            0.023909,                   0,             0.84233,             0.65609,             0.76777,             0.34837,            0.041468,            0.026124,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.043491,            0.023258,                   0,             0.86168,             0.67448,             0.79421,             0.37694,            0.040409,             0.02539,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.043072,            0.023226,                   0,             0.85275,             0.67526,             0.78491,             0.38225,            0.039969,            0.025536,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.043234,            0.023013,                   0,             0.86003,             0.63183,             0.75106,             0.32317,            0.042349,             0.02731,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.043413,            0.023232,                   0,             0.84431,             0.66276,             0.77851,             0.35967,            0.041271,             0.02571,                   0,            0.007624,            0.007624,            0.007624
